Date,Qin,S,Qout
1-1-1994,32905440,16500000000,75000000
2-1-1994,33145632,16458145632,75000000
3-1-1994,33454080,16416832236,74767475.73
4-1-1994,33971616,16376265895,74537956.87
5-1-1994,34559136,16336512443,74312588.31
6-1-1994,35357472,16297778179,74091735.79
7-1-1994,36230976,16260132610,73876545.44
8-1-1994,37284192,16223749398,73667403.39
9-1-1994,38131776,16188415900,73465274.44
10-1-1994,38698560,16153845483,73268977.22
11-1-1994,39019104,16119787667,73076919.35
12-1-1994,39482208,16086382166,72887709.26
13-1-1994,40987296,16054667339,72702123.15
14-1-1994,42322176,16024463585,72525929.66
15-1-1994,42866496,15994971950,72358131.03
16-1-1994,43813440,15966591102,72194288.61
17-1-1994,44252352,15938806837,72036617.23
18-1-1994,44875296,15911799872,71882260.2
19-1-1994,45979488,15886047139,71732221.51
20-1-1994,47126016,15861584004,71589150.77
21-1-1994,48205152,15838335912,71453244.47
22-1-1994,49964256,15816976079,71324088.4
23-1-1994,50716800,15796487457,71205422.66
24-1-1994,51131520,15776527380,71091596.98
25-1-1994,52269408,15757816080,70980707.66
26-1-1994,55133568,15742072892,70876756
27-1-1994,57215808,15728499406,70789293.84
28-1-1994,59459616,15717245136,70713885.59
29-1-1994,61782912,15708376687,70651361.87
30-1-1994,62665920,15700440514,70602092.7
31-1-1994,62899200,15692781711,70558002.85
1-2-1994,63881568,15686147825,70515453.95
2-2-1994,64916640,15680585866,70478599.03
3-2-1994,65435040,15675573207,70447699.26
4-2-1994,66432096,15671585452,70419851.15
5-2-1994,68964480,15670152235,70397696.95
6-2-1994,70410816,15670173316,70389734.64
7-2-1994,71916768,15671700232,70389851.76
8-2-1994,73925568,15675227466,70398334.62
9-2-1994,78091776,15682901311,70417930.36
10-2-1994,79342848,15691783596,70460562.84
11-2-1994,79696224,15700969912,70509908.87
12-2-1994,81363744,15711772712,70560943.95
13-2-1994,82633824,15723785576,70620959.51
14-2-1994,83604096,15736701974,70687697.65
15-2-1994,85091904,15751034423,70759455.41
16-2-1994,86380992,15766576335,70839080.13
17-2-1994,87727968,15783378879,70925424.08
18-2-1994,89551872,15801911979,71018771.55
19-2-1994,90758016,15821548262,71121733.22
20-2-1994,93132288,15843449726,71230823.68
21-2-1994,95951520,15868048748,71352498.48
22-2-1994,98313696,15894873284,71489159.71
23-2-1994,101237472,15924472571,71638184.91
24-2-1994,104353920,15957023866,71802625.4
25-2-1994,107832384,15992872784,71983465.92
26-2-1994,111517344,16032207501,72182626.58
27-2-1994,116208000,16076014349,72401152.79
28-2-1994,122693184,16126063008,72644524.16
1-3-1994,128619360,16181759796,72922572.27
2-3-1994,136058400,16244586197,73231998.87
3-3-1994,143138016,16314143179,73581034.43
4-3-1994,149900544,16390076261,73967462.1
5-3-1994,154990368,16470677316,74389312.56
6-3-1994,160754112,16556594332,74837096.2
7-3-1994,166103136,16647383055,75314412.96
8-3-1994,170496576,16742060836,75818794.75
9-3-1994,175208832,16840924886,76344782.42
10-3-1994,179807040,16943837899,76894027.14
11-3-1994,185634720,17052006853,77465766.1
12-3-1994,189719712,17163659860,78066704.74
13-3-1994,193942944,17278915805,78686999.22
14-3-1994,198118656,17397707151,79327310.03
15-3-1994,203845248,17521565137,79987261.95
16-3-1994,206117568,17647007343,80675361.87
17-3-1994,208501344,17774136424,81372263.02
18-3-1994,212053248,17904111136,82078535.69
19-3-1994,215341632,18036652151,82800617.42
20-3-1994,219046464,18172161658,83536956.39
21-3-1994,222486048,18310357919,84289786.99
22-3-1994,226747296,18452047671,85057544
23-3-1994,229743648,18595946610,85844709.29
24-3-1994,233666208,18742968670,86644147.83
25-3-1994,234778176,18890285909,87460937.06
26-3-1994,238029408,19040035951,88279366.16
27-3-1994,240071040,19190995680,89111310.84
28-3-1994,242121312,19343167016,89949976
29-3-1994,242429760,19494801404,90795372.31
30-3-1994,242429760,19645593378,91637785.58
31-3-1994,242224128,19795341987,92475518.77
1-4-1994,240787296,19942821828,93307455.49
2-4-1994,239048064,20087743104,94126787.93
3-4-1994,236806848,20229618046,94931906.13
4-4-1994,234778176,20368676122,95720100.26
5-4-1994,231147648,20503331125,96492645.12
6-4-1994,227743488,20633833884,97240728.47
7-4-1994,223869312,20759737452,97965743.8
8-4-1994,220026240,20881098484,98665208.07
9-4-1994,216605664,20998364712,99339436.02
10-4-1994,212246784,21110620581,99990915.07
11-4-1994,208406304,21218412326,100614558.8
12-4-1994,205168896,21322367821,101213401.8
13-4-1994,201300768,21421877656,101790932.3
14-4-1994,196534944,21516068835,102343764.8
15-4-1994,193204224,21606406010,102867049.1
16-4-1994,189628128,21692665216,103368922.3
17-4-1994,185904288,21774721364,103848140.1
18-4-1994,181323360,21851740716,104304007.6
19-4-1994,175122432,21922131256,104731892.9
20-4-1994,171710496,21988718800,105122951.4
21-4-1994,168419520,22051645438,105492882.2
22-4-1994,165417120,22111220083,105842474.7
23-4-1994,161678592,22166725230,106173444.9
24-4-1994,158650272,22218893696,106481806.8
25-4-1994,154904832,22267026896,106771631.6
26-4-1994,151447968,22311435826,107039038.3
27-4-1994,147464064,22351614135,107285754.6
28-4-1994,142654176,22386759344,107508967.4
29-4-1994,139330368,22418385493,107704218.6
30-4-1994,138475008,22448980582,107879919.4
1-5-1994,130366368,22471297057,108049892.1
2-5-1994,126353088,22489476273,108173872.5
3-5-1994,122681088,22503882493,108274868.2
4-5-1994,120149568,22515677158,108354902.7
5-5-1994,116204544,22523461273,108420428.7
6-5-1994,113429376,22528426976,108463673.7
7-5-1994,109892160,22529827875,108491261
8-5-1994,107664768,22528993599,108499043.7
9-5-1994,104628672,22525127862,108494408.9
10-5-1994,100858176,22517513105,108472932.6
11-5-1994,97079904,22506162381,108430628.4
12-5-1994,92498112,22490292924,108367568.8
13-5-1994,91545984,22473559503,108279405.1
14-5-1994,89709984,22455083045,108186441.7
15-5-1994,87366816,22434366067,108083794.7
16-5-1994,83505600,22409902966,107968700.4
17-5-1994,79447392,22381517564,107832794.3
18-5-1994,75751200,22349593667,107675097.6
19-5-1994,73776096,22315872020,107497742.6
20-5-1994,71576352,22280137972,107310400.1
21-5-1994,69590016,22242616110,107111877.6
22-5-1994,67432608,22203145295,106903422.8
23-5-1994,64118304,22160579459,106684140.5
24-5-1994,61877088,22116008883,106447663.7
25-5-1994,59336064,22069144898,106200049.4
26-5-1994,58300992,22021506196,105939693.9
27-5-1994,57098304,21972929466,105675034.4
28-5-1994,56943648,21924467950,105405163.7
29-5-1994,55249344,21874581361,105135933.1
30-5-1994,51474528,21821197103,104858785.3
31-5-1994,49851072,21766485969,104562206.1
1-6-1994,48689856,20772593271,1042582554
2-6-1994,47757600,19832984579,987366292.9
3-6-1994,46829664,18944648433,935165809.9
4-6-1994,45721152,18104555783,885813801.8
5-6-1994,44801856,17310215651,839141987.9
6-6-1994,43959456,16559163126,795011980.6
7-6-1994,43339104,15849215390,753286840.4
8-6-1994,42721344,15178091435,713845299.4
9-6-1994,41923872,14543454671,676560635.3
10-6-1994,41310432,13943462066,641303037.3
11-6-1994,40698720,13376190671,607970114.8
12-6-1994,39910752,12839646386,576455037.3
13-6-1994,39303360,12332302724,546647021.4
14-6-1994,38698560,11852540022,518461262.5
15-6-1994,37990080,11398722323,491807779
16-6-1994,37777536,10969904174,466595684.6
17-6-1994,37107936,10564239656,442772454.1
18-6-1994,36720864,10180724984,420235536.5
19-6-1994,36230112,9818025930,398929165.8
20-6-1994,35881056,9475127768,378779218.3
21-6-1994,35357472,9150755919,359729320.4
22-6-1994,34836480,8843883737,341708662.2
23-6-1994,34524576,8553748105,324660207.6
24-6-1994,34212672,8279419216,308541561.4
25-6-1994,33764256,8019882405,293301067.6
26-6-1994,33660576,7774660625,278882355.8
27-6-1994,33420384,7542822085,265258923.6
28-6-1994,33145632,7323588712,252379004.7
29-6-1994,32870880,7116260219,240199372.9
30-6-1994,32563296,6920142392,228681123.3
1-7-1994,32050944,6734407648,217785688.5
2-7-1994,31574880,6558515436,207467091.5
3-7-1994,31472928,6392293062,197695302
4-7-1994,31269888,6235102224,188460725.7
5-7-1994,31201632,6086575955,179727901.4
6-7-1994,30998592,5946098105,171476442
7-7-1994,30931200,5813357188,163672117
8-7-1994,30694464,5687754031,156297621.6
9-7-1994,30424896,5568859258,149319668.4
10-7-1994,30156192,5456301047,142714403.2
11-7-1994,29887488,5349727366,136461169.3
12-7-1994,29652480,5248839437,130540409.2
13-7-1994,29585952,5153489864,124935524.3
14-7-1994,29351808,5063203347,119638325.8
15-7-1994,29117664,4977698602,114622408.1
16-7-1994,29051136,4896877594,109872144.6
17-7-1994,28817856,4820313361,105382088.5
